year,month,edition,drive_id,status,notes
2018,12,Special - Binsar/Sattal/Pangot,1y2lPlDwtK_d3JAmGdwe4kBegENpXvS0o,IN DRIVE,No regular Dec 2018 issue
2019,1,Regular,1U9_Q01pLILVDekHdmaGxKmuFwm0cIzjG,IN DRIVE,"Re-send also saved as ""(v2 2019-02-02)"" (1LlC8WRu41UJYsbgRpxVW7FRYJter23Qc) - same content"
2019,2,Regular,1uk1cf7ckjCYy2veWlr5ODZx9A3tkUB5h,IN DRIVE,"Re-send also saved as ""(v2 2019-03-11)"" (1O2CcHyuKmaeDRiyk45FeSTfd0b3bRCzp) - same content"
2019,3,Regular,12Q3sKCVOZp6zwbyrnIdB2TjIHRiB9UmW,IN DRIVE,
2019,4,Regular,1PTn9Rkq_XNbbVq9y8PQFGa-ex-1szVQ8,IN DRIVE,
2019,5,Regular,1cF9b8GEeMK5OFVIQeZom9WblgnSiyjc1,IN DRIVE,
2019,6,Regular,1oRJTpm80PvzPka-X4FI0XjLp1DX84dSs,IN DRIVE,
2019,7,Regular,1R4Ql0DeutxchvTwKxXtFhWltKVUeGu73,IN DRIVE,
2019,8,Regular,1TAtbeO_4g5JBgzmjaCxdO2FwCZiXL59W,IN DRIVE,
2019,9,Regular,1qGDKOoazJiiR4RWLQLC_rr_CPH04SXsN,IN DRIVE,"Re-send also saved as ""(v2 2019-10-15)"" (1T6jd8nOayAxrqchF2wHIgcYD6ktATQqb) - same content"
2019,10,Regular,1LSrQv8k4IZZeLw9O9WsMVsZDjObMJ0Q2,IN DRIVE,
2019,11,Regular,10R5zkYL959pez9uZX4uExHMtNzl3ddlQ,IN DRIVE,
2019,12,Regular,1OV44MG61j4pYO9jjjOILBwqDnE5s82BL,IN DRIVE,
2020,1,Regular,1oLTOmb1Mu05z0mSgiN69fB-xkoreG9r5,IN DRIVE,
2020,2,Regular,1q_ooznvV3mobGZFRGQxSxmYYfjJr8PRJ,IN DRIVE,
2020,3,Regular,1idWzE7ETiLradkOM51IaJmWA2EDfdkhm,IN DRIVE,
2020,4,Regular,1uUVZgWoEvwW-ZZORZCr_JJPKUvD_c3qe,IN DRIVE,
2020,4,Special - Australia,1HfDUs8pVYuGo5c7WzF5sSDYvRWYsJOJX,IN DRIVE,
2020,5,Regular,1y2KuRQxtFNV_2RkzPKz3b1hTp1AvVDgP,IN DRIVE,
2020,6,Regular,1MtoNxiDsBJs_l_bnmUQxEZsOixBY_y_u,IN DRIVE,
2020,7,Regular,1Tci9pynmOTF4Taf60S9HhuEQzebq0Bcq,IN DRIVE,"Re-send also saved as ""(v2 2020-07-30)"" (1xxHVrrHpJYKTL3-kfTkE-1KqribRI89h) - same content"
2020,7,"Special - Sattal & Mandal, Uttarakhand",1ppTJQZ7jyj_ODY6MKm13CqsY6P786ywS,IN DRIVE,
2020,8,Regular,1fIRXktdymB-p4E5-8Qp_vE-aeNi0Yx65,IN DRIVE,
2020,9,Regular,19im57AYoqE0YHlkqAuX1wWj0TheaYpDY,IN DRIVE,"This is the ""(v2 2020-09-20)"" re-send, 0.5 MB larger than the first send (15trwUjIpSx5O5-q0LjgQqeDPPWs5IUIN) - likely the corrected issue; verify which to publish"
2020,10,Regular,1LCA5nyI28gY0BhpOZpiXaJJCeOd6OfVS,IN DRIVE,
2020,11,Regular,1PJC9zuy-GYy6kPrqow00SSJFpJopIr-P,IN DRIVE,
2020,11,Special - Gujarat,1WJb0Gawg_42kT-06wO93yiO56vYP7pi1,IN DRIVE,
2020,12,Regular,1zXq-jCyAAnTA9fRyXIMxd15VxGbW7PuR,IN DRIVE,
2021,1,Regular,1BPRrW0ZEGNYvLqwAHrzzJqt-uEydcw2X,IN DRIVE,
2021,2,Regular,1s2fMjvKX7UqYxNHyV1B3VQZS0GY4g7zj,IN DRIVE,
2021,3,Regular,1FSG0ofnCKz0ZjSOjYQeNoUd2e_fiDTZe,IN DRIVE,
2021,4,Regular,1WllG1Nq4qc3RHSpeGp2hMaJayfnhC4MB,IN DRIVE,
2021,5,Regular,1krztHCpBjcVytnBe7yDnVE3fr-ISnAyj,IN DRIVE,
2021,6,Regular,1jsXfuAe776qbAk8NjBKuqC-XzA_R4x9J,IN DRIVE,
2021,7,Regular,12Ybd8lr2XRaxO_M_ct-jY1UO38MpiueT,IN DRIVE,
2021,8,Regular,1a8ycDDYnFoXOxF82129ZFdTiP2rbp2nl,IN DRIVE,
2021,9,Regular,1vUon9bGFR8dvGxMo9vmL91iANteQ8uS4,IN DRIVE,
2021,10,Regular,1oJMUixGX3TMmFdBbgKnVbpEGy2QzeVg7,IN DRIVE,
2021,11,Regular,1xvzNtzbQuf4Fwd9fPBnIf5fPUgj692p3,IN DRIVE,
2021,11,Special - West Bengal,15D8XJ0NGL5dk-YbO6x81x5oRVQDDvy7u,IN DRIVE,"Same issue saved 3x: as 2021-10 (1ZbrHn7PUNY2nc0a09Cy-Wcgvk0wJHDcv) and ""(v2 2021-11-26)"" (1xW3OIRHo46KtllMnndyGKioFuqr-vQqi) - keep one"
2021,12,Regular,1cqCJuZfXNamqVA9lv6vEou5u3qdkD2gF,IN DRIVE,
2022,1,Regular,1XEUaKDUDp99JTqNcRiGo-Ig1670kC8Gq,IN DRIVE,
2022,2,Regular,1pXUUNrWv66jJVzBaIoYgDwzUkW2jVnwz,IN DRIVE,
2022,3,Regular,,MISSING,Not in Gmail - try archive.org pass
2022,4,Regular,14LyvL1UYG2S0CbvCIAK4AGCbVncNugIw,IN DRIVE,
2022,5,Regular,11GktnNW1E3f3-0aCB_vRULs_T50qLsS2,IN DRIVE,
2022,6,Regular,1puhOmx45KvS3u-Sd4Vq7DI1joQc_jQoJ,IN DRIVE,
2022,7,Regular,19cff2LFqvc8AdStCJsNhoVwaBfXHzXIq,IN DRIVE,
2022,8,Regular,1QEjzeBQBytOgNsKftpeNdQA3aO6RF7OG,IN DRIVE,
2022,8,Special - Nizamabad,1Rakr2ABmeqwioB1SyKkfGc7U1mV8qhJN,IN DRIVE,
2022,9,Regular,19x25etv7Cwbs6PPAs41akCuhSh1TIf8l,IN DRIVE,
2022,9,Special - Gujarat Passage Migration,1yLD02TEwH1r1_jeyFLYiVn1Ewqw97cir,IN DRIVE,
2022,10,Regular,10BOgC5A4eOjuII5RT-M_H4UuzpgM-fDl,IN DRIVE,
2022,11,Regular,14IwwdCJ_GV43DbdApaCEt3bEFA_DPUNC,IN DRIVE,
2022,12,Regular,1Rv1YKAy3tttaVkWGeYU4OHqjq_UcOW3o,IN DRIVE,
2022,12,Special - Eaglenest WLS,,MISSING,Sent as Drive link - https://mail.google.com/mail/u/0/#all/1855dee5a6db3945
2023,1,Regular,1dGi6mnXSgIB7XySrsiKzYqq_YLhVbWeR,IN DRIVE,
2023,2,Regular,1wkqwJcEMUiBC7h2zmjlKWYnZYoNhmiYQ,IN DRIVE,
2023,3,Regular,1WSNJwmhrfWciDjq_fZYHtC42UUXFIalq,IN DRIVE,
2023,4,Regular,1ggzhAFW7dgsMb3NUeUXGYwEaxblBj5ij,IN DRIVE,
2023,5,Regular,1nNlTxma_dZ12XTalviWBJBc85lGAOP13,IN DRIVE,
2023,6,Regular,1Ct7QZx6LrtnhywL2CzYsfYm8fnGxu6aE,IN DRIVE,
2023,6,Special - Uttarakhand,,MISSING,Sent as Drive link - https://mail.google.com/mail/u/0/#all/188e3cb24db391af
2023,7,Regular,1Eh2yQc9ZBCCOmIb8TCz7zyh1u3u0NUXx,IN DRIVE,
2023,8,Regular,1DdBXInBMLgFM4ZjB9opWTGYo1G5zFUj6,IN DRIVE,
2023,9,Regular,1kHzQlfg1wHUXXyJaBP-SkuAPqxrkZpmd,IN DRIVE,
2023,10,Regular,1MitWlm3wnxb42dYJqRhpG-M09QGTvysp,IN DRIVE,
2023,11,Regular,1rF1ZNDCAc7XzHciRPB7ibp-Co5nd4UEC,IN DRIVE,"This is the ""(v2 2023-11-30)"" revised re-send; first send is 1Mb6EFCPCcMXOz4RJGUVrA38M1ql62V0p"
2023,12,Regular,1Xa6-SwzPvW-hxZogqfludpsm35Dv9_D0,IN DRIVE,
2024,1,Regular,11BTdv5q-oASDN7Lv42ZPIfPTwPx3ABZ6,IN DRIVE,
2024,2,Regular,19b7pvZ4vBXfHRxnvyZSa-nXVLXlmaz20,IN DRIVE,"This is the ""(v2 2024-02-28)"" corrected re-send; first send is 1LOrvB1qa6atCyxv-OasDc-QK-sm4gtDT"
2024,3,Regular,1oZe4a6njHofH1XifMF2OGn5dUvR8Uged,IN DRIVE,
2024,4,Regular,1Og5i2KsGRh2m4W76nRk_bNa0OqloMN-X,IN DRIVE,
2024,5,Regular,15QqUMqgdQHGZGmQbfwveowk75op7EPOc,IN DRIVE,
2024,6,Regular,14yiBxgvq3AXWFMsEWi57xC0GLUOI8ezB,IN DRIVE,
2024,7,Regular,1RZhHmusSwOl6bTj3VdSTw_-J_sF84KrA,IN DRIVE,
2024,8,Regular,1DjYH4D3MzNOU7j3XpuTc-Fjn3Ue7NJCh,IN DRIVE,
2024,9,Regular,1jIzpkTeL_l4QVFpFq--4reLcUHxOAwWH,IN DRIVE,
2024,10,Regular,19e5kzgkksD05RchcR6ZoETV3AdZDTNeV,IN DRIVE,
2024,11,Regular,1qcJ9Y1ZofUuAlfC2I6KVOF3-ZToD-7S3,IN DRIVE,
2024,12,Regular,1wPoJixqzFPv5xdaEnog-86OeOFqzPv9l,IN DRIVE,
2025,1,Regular,1KLmhCze5X5i9t_6hy0gtaXRESn5iLk55,IN DRIVE,"This is the ""(v2 2025-01-28)"" re-send, 30 KB larger than first send (1LRV-elXCpWp2Q8HuDjYvJy3uJH07Xog_) - likely corrected; verify"
2025,2,Regular,1TUJBrq7-I5xdEpDL4xbMacdxgaZ84gqQ,IN DRIVE,
2025,3,Regular,1yIuXjH7BYUzOyc1npskVBjjMG9z4EPVl,IN DRIVE,
2025,4,Regular,1eSTP0l840E9YavHlTwZRyJptCYfBBasY,IN DRIVE,
2025,5,Regular,11wx1glXIEnoWgOql2yU9iEm9kNf-YeyR,IN DRIVE,
2025,6,Regular,118vhyTa0uaXiurfdgy_wp6tCUruEREao,IN DRIVE,
2025,7,Regular,1Iv_X-0Cf3GJcD4jccSWT8ECspizhBTQq,IN DRIVE,
2025,8,Regular,19QNVAEuvYJBSrt-p5Cu7wyDAr3yVumWC,IN DRIVE,
2025,9,Regular,1A4K5pWtHqcNOolmJ-q8KKXlC70s_SMeJ,IN DRIVE,
2025,9,Special - West Bengal,,MISSING,Sent as Drive link - https://mail.google.com/mail/u/0/#all/1993c80f208f1e66
2025,10,Regular,140483G-x3EbZMjO1Y65VcEjwqZrIyQ9q,IN DRIVE,
2025,11,Regular,11oGjbPPwYLJhqVrMZkrPJvDbtIOfRxev,IN DRIVE,
2025,12,Regular,1aJIbhNBSbG2HqACUTr4ADrD0mmT-lr2A,IN DRIVE,
2026,1,Regular,1qjrSMIWZYdZpW1gV3Vk45w-xFOtIiN9e,IN DRIVE,
2026,2,Regular,1Yr9UEF1mtYG3X8VTqpIn3GYOAq8j3Sov,IN DRIVE,
2026,3,Regular,1lqDn6AOGvdNMHLRwMe5SICKZsL_Vi8oH,IN DRIVE,
2026,4,Regular,1LtX8jjn_TsVdAs3GCs2Qb2NpKO9CZLVO,IN DRIVE,
2026,5,Regular,1mdOuMjiROZ2MfTWb79-efJQsoZWCZj7w,IN DRIVE,
2026,6,Regular,1KWTPIhlQo-m-Lvk0X1OV1sLlvQwDUb5j,IN DRIVE,
2026,7,Regular,1nkyQO92m5cHQ9I3Iln_z6Mj8OKZJbl6x,IN DRIVE,
2026,8,Regular,1iyxwRMhTHsTBwoaFg16_iBitCJ-UM0-z,IN DRIVE,
